Name	Value	Time
txExpired-average	0	2019-10-20T13:43:26.336Z
txExpired-total	0	2019-10-20T13:43:26.336Z
queueLength-average	0	2019-10-20T13:43:26.336Z
queueLength-value	0	2019-10-20T13:43:26.336Z
serverLoad-average	0	2019-10-20T13:43:26.336Z
serverLoad-value	0	2019-10-20T13:43:26.336Z
txTimeInQueue-average	0	2019-10-20T13:43:26.336Z
txInjected-average	0	2019-10-20T13:43:27.339Z
txInjected-total	0	2019-10-20T13:43:27.339Z
txApplied-average	0	2019-10-20T13:43:27.339Z
txApplied-total	0	2019-10-20T13:43:27.339Z
txRejected-average	0	2019-10-20T13:43:27.339Z
txRejected-total	0	2019-10-20T13:43:27.339Z
txExpired-average	0	2019-10-20T13:43:27.339Z
txExpired-total	0	2019-10-20T13:43:27.339Z
queueLength-average	0	2019-10-20T13:43:27.339Z
queueLength-value	0	2019-10-20T13:43:27.339Z
serverLoad-average	0	2019-10-20T13:43:27.339Z
serverLoad-value	0	2019-10-20T13:43:27.339Z
txTimeInQueue-average	0	2019-10-20T13:43:27.339Z
txInjected-average	0	2019-10-20T13:43:28.340Z
txInjected-total	0	2019-10-20T13:43:28.340Z
txApplied-average	0	2019-10-20T13:43:28.340Z
txApplied-total	0	2019-10-20T13:43:28.340Z
txRejected-average	0	2019-10-20T13:43:28.340Z
txRejected-total	0	2019-10-20T13:43:28.340Z
txExpired-average	0	2019-10-20T13:43:28.340Z
txExpired-total	0	2019-10-20T13:43:28.340Z
queueLength-average	0	2019-10-20T13:43:28.340Z
queueLength-value	0	2019-10-20T13:43:28.340Z
serverLoad-average	0	2019-10-20T13:43:28.340Z
serverLoad-value	0	2019-10-20T13:43:28.340Z
txTimeInQueue-average	0	2019-10-20T13:43:28.340Z
txInjected-average	0	2019-10-20T13:43:29.341Z
txInjected-total	0	2019-10-20T13:43:29.341Z
txApplied-average	0	2019-10-20T13:43:29.341Z
txApplied-total	0	2019-10-20T13:43:29.341Z
txRejected-average	0	2019-10-20T13:43:29.341Z
txRejected-total	0	2019-10-20T13:43:29.341Z
txExpired-average	0	2019-10-20T13:43:29.341Z
txExpired-total	0	2019-10-20T13:43:29.341Z
queueLength-average	0	2019-10-20T13:43:29.341Z
queueLength-value	0	2019-10-20T13:43:29.341Z
serverLoad-average	0	2019-10-20T13:43:29.341Z
serverLoad-value	0	2019-10-20T13:43:29.341Z
txTimeInQueue-average	0	2019-10-20T13:43:29.341Z
txInjected-average	0	2019-10-20T13:43:30.341Z
txInjected-total	0	2019-10-20T13:43:30.341Z
txApplied-average	0	2019-10-20T13:43:30.341Z
txApplied-total	0	2019-10-20T13:43:30.341Z
txRejected-average	0	2019-10-20T13:43:30.341Z
txRejected-total	0	2019-10-20T13:43:30.341Z
txExpired-average	0	2019-10-20T13:43:30.341Z
txExpired-total	0	2019-10-20T13:43:30.341Z
queueLength-average	0	2019-10-20T13:43:30.341Z
queueLength-value	0	2019-10-20T13:43:30.341Z
serverLoad-average	0	2019-10-20T13:43:30.341Z
serverLoad-value	0	2019-10-20T13:43:30.341Z
txTimeInQueue-average	0	2019-10-20T13:43:30.341Z
txInjected-average	0	2019-10-20T13:43:31.343Z
txInjected-total	0	2019-10-20T13:43:31.343Z
txApplied-average	0	2019-10-20T13:43:31.343Z
txApplied-total	0	2019-10-20T13:43:31.343Z
txRejected-average	0	2019-10-20T13:43:31.343Z
txRejected-total	0	2019-10-20T13:43:31.343Z
txExpired-average	0	2019-10-20T13:43:31.343Z
txExpired-total	0	2019-10-20T13:43:31.343Z
queueLength-average	0	2019-10-20T13:43:31.343Z
queueLength-value	0	2019-10-20T13:43:31.343Z
serverLoad-average	0	2019-10-20T13:43:31.343Z
serverLoad-value	0	2019-10-20T13:43:31.343Z
txTimeInQueue-average	0	2019-10-20T13:43:31.343Z
txInjected-average	0	2019-10-20T13:43:32.345Z
txInjected-total	0	2019-10-20T13:43:32.345Z
txApplied-average	0	2019-10-20T13:43:32.345Z
txApplied-total	0	2019-10-20T13:43:32.345Z
txRejected-average	0	2019-10-20T13:43:32.345Z
txRejected-total	0	2019-10-20T13:43:32.345Z
txExpired-average	0	2019-10-20T13:43:32.345Z
txExpired-total	0	2019-10-20T13:43:32.345Z
queueLength-average	0	2019-10-20T13:43:32.345Z
queueLength-value	0	2019-10-20T13:43:32.345Z
serverLoad-average	0	2019-10-20T13:43:32.345Z
serverLoad-value	0	2019-10-20T13:43:32.345Z
txTimeInQueue-average	0	2019-10-20T13:43:32.345Z
txInjected-average	0	2019-10-20T13:43:33.346Z
txInjected-total	0	2019-10-20T13:43:33.346Z
txApplied-average	0	2019-10-20T13:43:33.346Z
txApplied-total	0	2019-10-20T13:43:33.346Z
txRejected-average	0	2019-10-20T13:43:33.346Z
txRejected-total	0	2019-10-20T13:43:33.346Z
txExpired-average	0	2019-10-20T13:43:33.346Z
txExpired-total	0	2019-10-20T13:43:33.346Z
queueLength-average	0	2019-10-20T13:43:33.346Z
queueLength-value	0	2019-10-20T13:43:33.346Z
serverLoad-average	0	2019-10-20T13:43:33.346Z
serverLoad-value	0	2019-10-20T13:43:33.346Z
txTimeInQueue-average	0	2019-10-20T13:43:33.346Z
txInjected-average	0	2019-10-20T13:43:34.349Z
txInjected-total	0	2019-10-20T13:43:34.349Z
txApplied-average	0	2019-10-20T13:43:34.349Z
txApplied-total	0	2019-10-20T13:43:34.349Z
txRejected-average	0	2019-10-20T13:43:34.349Z
txRejected-total	0	2019-10-20T13:43:34.349Z
txExpired-average	0	2019-10-20T13:43:34.349Z
txExpired-total	0	2019-10-20T13:43:34.349Z
queueLength-average	0	2019-10-20T13:43:34.349Z
queueLength-value	0	2019-10-20T13:43:34.349Z
serverLoad-average	0	2019-10-20T13:43:34.349Z
serverLoad-value	0	2019-10-20T13:43:34.349Z
txTimeInQueue-average	0	2019-10-20T13:43:34.349Z
txInjected-average	0	2019-10-20T13:43:35.352Z
txInjected-total	0	2019-10-20T13:43:35.352Z
txApplied-average	0	2019-10-20T13:43:35.352Z
txApplied-total	0	2019-10-20T13:43:35.352Z
txRejected-average	0	2019-10-20T13:43:35.352Z
txRejected-total	0	2019-10-20T13:43:35.352Z
txExpired-average	0	2019-10-20T13:43:35.352Z
txExpired-total	0	2019-10-20T13:43:35.352Z
queueLength-average	0	2019-10-20T13:43:35.352Z
queueLength-value	0	2019-10-20T13:43:35.352Z
serverLoad-average	0	2019-10-20T13:43:35.352Z
serverLoad-value	0	2019-10-20T13:43:35.352Z
txTimeInQueue-average	0	2019-10-20T13:43:35.352Z
txInjected-average	0	2019-10-20T13:43:36.355Z
txInjected-total	0	2019-10-20T13:43:36.355Z
txApplied-average	0	2019-10-20T13:43:36.355Z
txApplied-total	0	2019-10-20T13:43:36.355Z
txRejected-average	0	2019-10-20T13:43:36.355Z
txRejected-total	0	2019-10-20T13:43:36.355Z
txExpired-average	0	2019-10-20T13:43:36.355Z
txExpired-total	0	2019-10-20T13:43:36.355Z
queueLength-average	0	2019-10-20T13:43:36.355Z
queueLength-value	0	2019-10-20T13:43:36.355Z
serverLoad-average	0	2019-10-20T13:43:36.355Z
serverLoad-value	0	2019-10-20T13:43:36.355Z
txTimeInQueue-average	0	2019-10-20T13:43:36.355Z
txInjected-average	0	2019-10-20T13:43:37.358Z
txInjected-total	0	2019-10-20T13:43:37.358Z
txApplied-average	0	2019-10-20T13:43:37.358Z
txApplied-total	0	2019-10-20T13:43:37.358Z
